age,total_population,males,females,hispanic_total,hispanic_males,hispanic_females,native_total,native_males,native_females,asian_total,asian_males,asian_females,black_total,black_males,black_females,white_total,white_males,white_females
42,38.0,36.0,40.0,40.3,38.0,42.3,31.9,29.7,34.2,43.6,41.7,45.1,35.0,32.2,37.5,37.9,35.9,39.8
43,37.1,35.1,39.1,39.4,37.1,41.4,31.2,29.0,33.4,42.7,40.8,44.1,34.1,31.4,36.6,37.0,35.1,38.9
44,36.2,34.2,38.2,38.5,36.3,40.5,30.5,28.4,32.6,41.7,39.9,43.2,33.3,30.6,35.7,36.1,34.2,38.0
45,35.3,33.4,37.3,37.6,35.4,39.5,29.8,27.8,31.9,40.8,38.9,42.2,32.5,29.8,34.9,35.2,33.3,37.1
46,34.4,32.5,36.4,36.7,34.5,38.6,29.2,27.1,31.2,39.8,38.0,41.2,31.6,29.0,34.0,34.3,32.5,36.2
47,33.6,31.6,35.5,35.8,33.6,37.6,28.5,26.6,30.5,38.9,37.0,40.3,30.8,28.2,33.1,33.4,31.6,35.3
48,32.7,30.8,34.6,34.9,32.8,36.7,27.9,26.0,29.8,37.9,36.1,39.3,30.0,27.4,32.3,32.6,30.8,34.4
49,31.8,29.9,33.7,34.0,31.9,35.8,27.3,25.4,29.1,37.0,35.2,38.4,29.2,26.6,31.4,31.7,29.9,33.5
50,30.9,29.1,32.8,33.1,31.0,34.9,26.7,24.9,28.4,36.1,34.3,37.4,28.4,25.9,30.6,30.8,29.1,32.6
51,30.1,28.3,31.9,32.2,30.2,34.0,26.0,24.3,27.7,35.1,33.4,36.5,27.6,25.1,29.7,30.0,28.2,31.7
52,29.2,27.4,31.0,31.3,29.3,33.0,25.4,23.7,27.0,34.2,32.5,35.5,26.8,24.3,28.9,29.1,27.4,30.8
53,28.4,26.6,30.1,30.4,28.5,32.1,24.8,23.1,26.4,33.3,31.6,34.6,26.0,23.6,28.1,28.3,26.6,29.9
54,27.5,25.8,29.2,29.6,27.6,31.2,24.1,22.5,25.7,32.4,30.7,33.6,25.2,22.8,27.3,27.4,25.8,29.1
